"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 09 02:35:45 GMT 2023","Mon Jan 09 02:35:59 GMT 2023","13045","","","","","","a1-valves.com оставить заявку -- @1.2 ",""
"passed","Mon Jan 09 02:55:06 GMT 2023","Mon Jan 09 02:55:25 GMT 2023","19066","","","","","","Заказ сплава emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:46:54 GMT 2023","Mon Jan 09 02:48:43 GMT 2023","108829","","","","","","контакты emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:36:27 GMT 2023","Mon Jan 09 02:36:44 GMT 2023","16605","","","","","","emkmet_ru секция 2",""
"passed","Mon Jan 09 02:56:24 GMT 2023","Mon Jan 09 02:58:17 GMT 2023","113318","","","","","","emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:43:13 GMT 2023","Mon Jan 09 02:44:56 GMT 2023","103149","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Mon Jan 09 02:40:36 GMT 2023","Mon Jan 09 02:40:58 GMT 2023","21787","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"passed","Mon Jan 09 02:38:10 GMT 2023","Mon Jan 09 02:38:45 GMT 2023","34626","","","","","","корзина emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:37:27 GMT 2023","Mon Jan 09 02:37:38 GMT 2023","11100","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Mon Jan 09 02:54:34 GMT 2023","Mon Jan 09 02:54:49 GMT 2023","14925","","","","","","Заказать в 1 клик emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:36:55 GMT 2023","Mon Jan 09 02:37:05 GMT 2023","10255","","","","","","railws.com заказать звонок",""
"passed","Mon Jan 09 02:54:18 GMT 2023","Mon Jan 09 02:54:34 GMT 2023","16237","","","","","","Заказать в 1 клик emk24 -- @1.3 ",""
"passed","Mon Jan 09 02:35:24 GMT 2023","Mon Jan 09 02:35:32 GMT 2023","8894","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Mon Jan 09 02:55:42 GMT 2023","Mon Jan 09 02:56:01 GMT 2023","18800","","","","","","Заказ сплава emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:35:59 GMT 2023","Mon Jan 09 02:36:15 GMT 2023","16504","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"passed","Mon Jan 09 02:35:32 GMT 2023","Mon Jan 09 02:35:45 GMT 2023","13016","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Mon Jan 09 02:54:49 GMT 2023","Mon Jan 09 02:55:06 GMT 2023","16918","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:39:24 GMT 2023","Mon Jan 09 02:39:55 GMT 2023","30829","","","","","","корзина emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:39:55 GMT 2023","Mon Jan 09 02:40:14 GMT 2023","19363","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:36:15 GMT 2023","Mon Jan 09 02:36:27 GMT 2023","11974","","","","","","emkmet_ru секция 1 и 4 -- @1.2 ",""
"passed","Mon Jan 09 02:46:39 GMT 2023","Mon Jan 09 02:46:54 GMT 2023","14779","","","","","","контакты emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:49:00 GMT 2023","Mon Jan 09 02:50:46 GMT 2023","106148","","","","","","контакты emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:37:05 GMT 2023","Mon Jan 09 02:37:16 GMT 2023","10986","","","","","","railws.com оставить заявку -- @1.1 ",""
"passed","Mon Jan 09 02:37:16 GMT 2023","Mon Jan 09 02:37:27 GMT 2023","10972","","","","","","railws.com оставить заявку -- @1.2 ",""
"passed","Mon Jan 09 02:36:44 GMT 2023","Mon Jan 09 02:36:55 GMT 2023","10969","","","","","","emkmet_ru секция 3",""
"passed","Mon Jan 09 02:50:46 GMT 2023","Mon Jan 09 02:51:01 GMT 2023","15377","","","","","","Заказать в 1 клик emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:37:38 GMT 2023","Mon Jan 09 02:38:10 GMT 2023","32530","","","","","","корзина emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:35:11 GMT 2023","Mon Jan 09 02:35:24 GMT 2023","12299","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Mon Jan 09 02:41:31 GMT 2023","Mon Jan 09 02:43:13 GMT 2023","102111","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:40:14 GMT 2023","Mon Jan 09 02:40:36 GMT 2023","21375","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"passed","Mon Jan 09 02:56:01 GMT 2023","Mon Jan 09 02:56:24 GMT 2023","22830","","","","","","emk24 -- @1.1 ",""
"passed","Mon Jan 09 02:41:18 GMT 2023","Mon Jan 09 02:41:31 GMT 2023","12547","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Mon Jan 09 03:00:11 GMT 2023","Mon Jan 09 03:02:07 GMT 2023","115448","","","","","","emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:58:17 GMT 2023","Mon Jan 09 03:00:11 GMT 2023","114473","","","","","","emk24 -- @1.3 ",""
"passed","Mon Jan 09 02:40:58 GMT 2023","Mon Jan 09 02:41:18 GMT 2023","20572","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"passed","Mon Jan 09 02:48:43 GMT 2023","Mon Jan 09 02:49:00 GMT 2023","16718","","","","","","контакты emk24 -- @1.3 ",""
