"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 22 03:00:09 GMT 2022","Thu Dec 22 03:01:55 GMT 2022","106327","","","","","","контакты emk24 -- @1.3 ",""
"passed","Thu Dec 22 02:46:10 GMT 2022","Thu Dec 22 02:46:43 GMT 2022","32611","","","","","","корзина emk24 -- @1.1 ",""
"passed","Thu Dec 22 03:01:55 GMT 2022","Thu Dec 22 03:03:40 GMT 2022","105112","","","","","","контакты emk24 -- @1.4 ",""
"passed","Thu Dec 22 02:53:11 GMT 2022","Thu Dec 22 02:54:56 GMT 2022","104330","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Thu Dec 22 03:11:45 GMT 2022","Thu Dec 22 03:12:07 GMT 2022","21790","","","","","","emk24 -- @1.1 ",""
"passed","Thu Dec 22 02:45:59 GMT 2022","Thu Dec 22 02:46:10 GMT 2022","11020","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Thu Dec 22 02:31:55 GMT 2022","Thu Dec 22 02:32:04 GMT 2022","8784","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Thu Dec 22 02:41:48 GMT 2022","Thu Dec 22 02:41:59 GMT 2022","11700","","","","","","emkmet_ru секция 1 и 4 -- @1.2 ",""
"passed","Thu Dec 22 02:42:16 GMT 2022","Thu Dec 22 02:42:26 GMT 2022","10242","","","","","","emkmet_ru секция 3",""
"passed","Thu Dec 22 03:07:53 GMT 2022","Thu Dec 22 03:09:40 GMT 2022","106609","","","","","","Заказ сплава emk24 -- @1.2 ",""
"passed","Thu Dec 22 03:03:40 GMT 2022","Thu Dec 22 03:05:23 GMT 2022","103061","","","","","","Заказать в 1 клик emk24 -- @1.1 ",""
"passed","Thu Dec 22 02:46:43 GMT 2022","Thu Dec 22 02:47:15 GMT 2022","31745","","","","","","корзина emk24 -- @1.2 ",""
"passed","Thu Dec 22 02:31:44 GMT 2022","Thu Dec 22 02:31:55 GMT 2022","11347","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Thu Dec 22 02:51:30 GMT 2022","Thu Dec 22 02:53:11 GMT 2022","101700","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Thu Dec 22 02:54:56 GMT 2022","Thu Dec 22 02:56:38 GMT 2022","102103","","","","","","Заказать звонок emk24 -- @1.4 ",""
"passed","Thu Dec 22 02:41:59 GMT 2022","Thu Dec 22 02:42:16 GMT 2022","16395","","","","","","emkmet_ru секция 2",""
"passed","Thu Dec 22 02:48:24 GMT 2022","Thu Dec 22 02:48:43 GMT 2022","19009","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"passed","Thu Dec 22 02:42:26 GMT 2022","Thu Dec 22 02:44:07 GMT 2022","100536","","","","","","railws.com заказать звонок",""
"passed","Thu Dec 22 02:32:04 GMT 2022","Thu Dec 22 02:38:18 GMT 2022","373856","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Thu Dec 22 02:49:27 GMT 2022","Thu Dec 22 02:49:47 GMT 2022","20379","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"passed","Thu Dec 22 02:49:47 GMT 2022","Thu Dec 22 02:51:30 GMT 2022","102137","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Thu Dec 22 02:44:07 GMT 2022","Thu Dec 22 02:45:48 GMT 2022","101556","","","","","","railws.com оставить заявку -- @1.1 ",""
"passed","Thu Dec 22 03:05:38 GMT 2022","Thu Dec 22 03:05:53 GMT 2022","14957","","","","","","Заказать в 1 клик emk24 -- @1.3 ",""
