"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 31 02:52:15 GMT 2023","Tue Jan 31 02:52:38 GMT 2023","23569","","","","","","Заказать звонок emk24 -- @1.1 ",""
"passed","Tue Jan 31 02:45:37 GMT 2023","Tue Jan 31 02:45:55 GMT 2023","17527","","","","","","emkmet_ru секция 2",""
"passed","Tue Jan 31 02:47:47 GMT 2023","Tue Jan 31 02:47:58 GMT 2023","11439","","","","","","railws.com оставить заявку -- @1.1 ",""
"passed","Tue Jan 31 02:51:52 GMT 2023","Tue Jan 31 02:52:15 GMT 2023","23151","","","","","","Купить в 1 клик emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:47:36 GMT 2023","Tue Jan 31 02:47:47 GMT 2023","10594","","","","","","railws.com заказать звонок",""
"broken","Tue Jan 31 02:50:40 GMT 2023","Tue Jan 31 02:51:03 GMT 2023","22968","","","","","","Купить в 1 клик emk24 -- @1.1 ",""
"broken","Tue Jan 31 03:04:54 GMT 2023","Tue Jan 31 03:05:17 GMT 2023","23675","","","","","","Заказ сплава emk24 -- @1.1 ",""
"passed","Tue Jan 31 02:52:38 GMT 2023","Tue Jan 31 02:54:22 GMT 2023","103956","","","","","","Заказать звонок emk24 -- @1.2 ",""
"passed","Tue Jan 31 03:00:05 GMT 2023","Tue Jan 31 03:01:53 GMT 2023","107846","","","","","","контакты emk24 -- @1.3 ",""
"passed","Tue Jan 31 03:13:33 GMT 2023","Tue Jan 31 03:15:28 GMT 2023","115490","","","","","","emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:41:19 GMT 2023","Tue Jan 31 02:41:30 GMT 2023","11307","","","","","","a1-valves.com заказать звонок -- @1.1 ",""
"passed","Tue Jan 31 02:54:22 GMT 2023","Tue Jan 31 02:56:07 GMT 2023","104744","","","","","","Заказать звонок emk24 -- @1.3 ",""
"passed","Tue Jan 31 02:48:45 GMT 2023","Tue Jan 31 02:49:22 GMT 2023","36635","","","","","","корзина emk24 -- @1.2 ",""
"broken","Tue Jan 31 03:03:40 GMT 2023","Tue Jan 31 03:04:05 GMT 2023","24720","","","","","","Заказать в 1 клик emk24 -- @1.1 ",""
"passed","Tue Jan 31 02:50:04 GMT 2023","Tue Jan 31 02:50:40 GMT 2023","36033","","","","","","корзина emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:43:23 GMT 2023","Tue Jan 31 02:45:07 GMT 2023","104141","","","","","","a1-valves.com оставить заявку -- @1.2 ",""
"passed","Tue Jan 31 03:04:39 GMT 2023","Tue Jan 31 03:04:54 GMT 2023","14810","","","","","","Заказать в 1 клик emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:47:58 GMT 2023","Tue Jan 31 02:48:10 GMT 2023","11525","","","","","","railws.com оставить заявку -- @1.2 ",""
"broken","Tue Jan 31 02:57:51 GMT 2023","Tue Jan 31 02:58:16 GMT 2023","24652","","","","","","контакты emk24 -- @1.1 ",""
"passed","Tue Jan 31 02:51:27 GMT 2023","Tue Jan 31 02:51:52 GMT 2023","24232","","","","","","Купить в 1 клик emk24 -- @1.3 ",""
"passed","Tue Jan 31 02:45:07 GMT 2023","Tue Jan 31 02:45:24 GMT 2023","17185","","","","","","emkmet_ru секция 1 и 4 -- @1.1 ",""
"passed","Tue Jan 31 02:45:24 GMT 2023","Tue Jan 31 02:45:37 GMT 2023","12915","","","","","","emkmet_ru секция 1 и 4 -- @1.2 ",""
"passed","Tue Jan 31 02:48:10 GMT 2023","Tue Jan 31 02:48:21 GMT 2023","11790","","","","","","railws.com оставить заявку -- @1.3 ",""
"passed","Tue Jan 31 03:05:56 GMT 2023","Tue Jan 31 03:07:48 GMT 2023","111673","","","","","","Заказ сплава emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:51:03 GMT 2023","Tue Jan 31 02:51:27 GMT 2023","24561","","","","","","Купить в 1 клик emk24 -- @1.2 ",""
"passed","Tue Jan 31 03:05:37 GMT 2023","Tue Jan 31 03:05:56 GMT 2023","19453","","","","","","Заказ сплава emk24 -- @1.3 ",""
"passed","Tue Jan 31 03:04:22 GMT 2023","Tue Jan 31 03:04:39 GMT 2023","16739","","","","","","Заказать в 1 клик emk24 -- @1.3 ",""
"passed","Tue Jan 31 03:04:05 GMT 2023","Tue Jan 31 03:04:22 GMT 2023","17613","","","","","","Заказать в 1 клик emk24 -- @1.2 ",""
"passed","Tue Jan 31 02:56:07 GMT 2023","Tue Jan 31 02:57:51 GMT 2023","104119","","","","","","Заказать звонок emk24 -- @1.4 ",""
"passed","Tue Jan 31 02:41:30 GMT 2023","Tue Jan 31 02:41:39 GMT 2023","9469","","","","","","a1-valves.com заказать звонок -- @1.2 ",""
"passed","Tue Jan 31 02:58:16 GMT 2023","Tue Jan 31 03:00:05 GMT 2023","108952","","","","","","контакты emk24 -- @1.2 ",""
"broken","Tue Jan 31 03:07:48 GMT 2023","Tue Jan 31 03:08:12 GMT 2023","24294","","","","","","emk24 -- @1.1 ",""
"passed","Tue Jan 31 03:05:17 GMT 2023","Tue Jan 31 03:05:37 GMT 2023","19661","","","","","","Заказ сплава emk24 -- @1.2 ",""
"passed","Tue Jan 31 03:01:53 GMT 2023","Tue Jan 31 03:03:40 GMT 2023","107127","","","","","","контакты emk24 -- @1.4 ",""
"passed","Tue Jan 31 03:08:12 GMT 2023","Tue Jan 31 03:10:07 GMT 2023","114415","","","","","","emk24 -- @1.2 ",""
"passed","Tue Jan 31 02:49:22 GMT 2023","Tue Jan 31 02:50:04 GMT 2023","41876","","","","","","корзина emk24 -- @1.3 ",""
"broken","Tue Jan 31 02:48:21 GMT 2023","Tue Jan 31 02:48:45 GMT 2023","23969","","","","","","корзина emk24 -- @1.1 ",""
"passed","Tue Jan 31 02:41:39 GMT 2023","Tue Jan 31 02:43:23 GMT 2023","103772","","","","","","a1-valves.com оставить заявку -- @1.1 ",""
"passed","Tue Jan 31 03:10:07 GMT 2023","Tue Jan 31 03:13:33 GMT 2023","205913","","","","","","emk24 -- @1.3 ",""
"passed","Tue Jan 31 02:45:55 GMT 2023","Tue Jan 31 02:47:36 GMT 2023","101098","","","","","","emkmet_ru секция 3",""
